               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098405,            0.080281,            0.049735,          1.8268e-05,           0.0040201,          9.4987e-06,          2.5705e-06,            0.078717,            0.070617,            0.048075,              0.0784,              0.0024,              0.0024
                   1,            0.087058,            0.077789,            0.046823,                   0,                   0,                   0,                   0,             0.07503,            0.070344,            0.047452,             0.05589,           0.0048903,           0.0048903
                   2,            0.084377,            0.079159,            0.043235,                   0,                   0,                   0,                   0,            0.074658,            0.069828,            0.047052,            0.033371,           0.0073707,           0.0073707
                   3,            0.081951,            0.075174,            0.040635,           0.0047088,             0.16168,           0.0040177,           0.0012437,            0.073249,            0.069134,            0.043332,            0.010841,           0.0098412,           0.0098412
                   4,            0.080189,            0.074397,            0.037927,           0.0078883,             0.10844,           0.0057927,           0.0017394,            0.075417,            0.071479,            0.052174,           0.0099208,           0.0099208,           0.0099208
                   5,            0.078135,            0.078365,            0.036212,             0.22736,            0.034121,            0.017175,           0.0055196,            0.070812,            0.067353,             0.03456,           0.0099208,           0.0099208,           0.0099208
                   6,            0.075839,            0.074085,            0.034672,             0.23729,            0.047255,            0.023437,           0.0066037,            0.070528,            0.061372,            0.032466,            0.009901,            0.009901,            0.009901
                   7,             0.07352,            0.074332,            0.030893,             0.45656,            0.086102,            0.043271,            0.013434,             0.06818,            0.063031,            0.029602,           0.0098812,           0.0098812,           0.0098812
                   8,            0.071986,            0.070666,            0.027735,             0.29052,             0.16745,            0.034657,            0.010385,            0.073831,             0.08835,            0.035904,           0.0098614,           0.0098614,           0.0098614
                   9,            0.069843,            0.071811,            0.025857,             0.65168,            0.041134,            0.025958,           0.0076755,            0.069506,             0.12529,            0.031348,           0.0098416,           0.0098416,           0.0098416
                  10,            0.068881,            0.071591,            0.023556,             0.12327,              0.2094,             0.10188,            0.034947,            0.061676,            0.062459,            0.020634,           0.0098218,           0.0098218,           0.0098218
                  11,            0.068003,             0.07449,            0.020864,             0.12812,             0.24536,            0.089493,            0.029323,            0.062805,            0.062686,            0.022664,            0.009802,            0.009802,            0.009802
                  12,            0.065104,            0.070671,            0.022432,             0.35391,             0.21439,             0.10582,            0.036354,            0.061904,            0.063753,            0.019905,           0.0097822,           0.0097822,           0.0097822
                  13,             0.06363,            0.070441,            0.018776,             0.12419,             0.24647,             0.11001,            0.040109,            0.058949,            0.076009,            0.021388,           0.0097624,           0.0097624,           0.0097624
                  14,             0.06224,            0.066032,            0.017985,              0.2002,             0.35547,             0.16376,            0.062959,            0.053309,            0.098806,            0.027913,           0.0097426,           0.0097426,           0.0097426
                  15,            0.062133,            0.067506,            0.019274,              0.1827,              0.3301,             0.18604,            0.072207,            0.055624,             0.06361,            0.017722,           0.0097228,           0.0097228,           0.0097228
                  16,            0.060313,            0.066787,            0.018017,             0.40733,             0.29649,             0.17555,            0.067184,            0.053787,            0.062464,             0.02318,            0.009703,            0.009703,            0.009703
                  17,            0.058179,            0.064564,            0.014879,             0.22944,             0.43593,             0.23999,            0.092225,            0.050606,            0.066753,            0.014534,           0.0096832,           0.0096832,           0.0096832
                  18,            0.056907,            0.067196,            0.014963,             0.21215,             0.34127,              0.1838,            0.078295,            0.050424,            0.070598,            0.014518,           0.0096634,           0.0096634,           0.0096634
                  19,            0.055854,            0.063334,            0.013766,             0.22006,             0.33474,             0.19389,            0.080909,            0.056357,            0.059419,            0.014394,           0.0096436,           0.0096436,           0.0096436
                  20,            0.054611,             0.06231,            0.011805,             0.28208,             0.45941,             0.28619,             0.12759,            0.047264,            0.056385,            0.012257,           0.0096238,           0.0096238,           0.0096238
                  21,            0.054411,            0.062798,            0.012025,             0.34867,             0.36916,             0.28271,             0.12013,            0.049018,            0.056195,            0.018732,            0.009604,            0.009604,            0.009604
                  22,            0.055819,             0.06386,            0.012243,             0.27611,             0.37627,             0.24332,            0.099513,            0.056808,            0.057065,            0.017921,           0.0095842,           0.0095842,           0.0095842
                  23,            0.054326,            0.060898,            0.011152,             0.25512,             0.27882,             0.13369,             0.05466,            0.057154,            0.059589,            0.028633,           0.0095644,           0.0095644,           0.0095644
                  24,            0.051696,            0.063167,             0.01038,             0.32204,             0.42724,             0.29251,             0.12035,            0.046291,            0.060134,            0.018128,           0.0095446,           0.0095446,           0.0095446
                  25,            0.053028,            0.064261,           0.0097277,             0.33386,             0.42503,             0.31427,             0.13983,              0.0469,            0.055878,             0.01581,           0.0095248,           0.0095248,           0.0095248
                  26,            0.051102,            0.058581,           0.0087628,             0.41132,             0.47249,             0.41547,             0.20273,            0.042341,            0.052631,            0.014231,            0.009505,            0.009505,            0.009505
                  27,            0.048673,            0.059811,            0.010684,             0.33969,             0.47298,             0.33989,             0.15977,            0.045742,            0.054097,            0.010837,           0.0094852,           0.0094852,           0.0094852
                  28,            0.049613,            0.062484,           0.0081032,             0.37904,             0.41372,             0.34462,             0.15938,            0.044553,             0.05593,            0.019304,           0.0094654,           0.0094654,           0.0094654
                  29,            0.048706,            0.061506,           0.0082106,             0.40224,             0.57155,             0.42324,             0.21047,            0.040771,            0.053913,            0.010485,           0.0094456,           0.0094456,           0.0094456
                  30,            0.047811,             0.05945,           0.0079878,             0.38181,             0.50458,             0.41331,             0.20836,            0.040595,             0.05271,           0.0092568,           0.0094258,           0.0094258,           0.0094258
                  31,            0.046367,            0.059545,           0.0077078,             0.40464,             0.40545,             0.36342,             0.17796,            0.041576,            0.053772,            0.020227,            0.009406,            0.009406,            0.009406
                  32,            0.048228,            0.062393,           0.0071493,             0.38463,             0.42618,             0.35876,             0.17247,            0.042976,            0.054858,            0.014576,           0.0093862,           0.0093862,           0.0093862
                  33,            0.046195,             0.05811,           0.0073606,             0.32573,             0.42171,              0.3223,             0.14521,            0.047843,             0.05865,            0.015403,           0.0093664,           0.0093664,           0.0093664
                  34,            0.045977,            0.060161,           0.0071746,             0.40888,             0.52358,             0.43007,             0.22316,            0.038219,            0.051709,            0.011597,           0.0093466,           0.0093466,           0.0093466
                  35,            0.045514,            0.058012,           0.0085968,             0.40846,              0.5221,             0.43142,              0.2205,            0.040901,            0.053842,            0.015053,           0.0093268,           0.0093268,           0.0093268
                  36,            0.043901,            0.055733,           0.0091426,             0.44507,             0.47588,             0.42968,             0.23376,            0.037587,            0.053047,            0.016109,            0.009307,            0.009307,            0.009307
                  37,            0.044416,            0.059015,           0.0066808,             0.39415,              0.5533,             0.44105,             0.23405,            0.037381,            0.054116,             0.01519,           0.0092872,           0.0092872,           0.0092872
                  38,            0.044237,            0.059963,            0.006825,             0.43264,             0.59478,             0.47364,             0.24221,            0.038824,            0.049814,           0.0071947,           0.0092674,           0.0092674,           0.0092674
                  39,            0.043816,            0.057839,           0.0066418,             0.40547,             0.56461,             0.46188,             0.24942,            0.036824,            0.051203,            0.011143,           0.0092476,           0.0092476,           0.0092476
                  40,            0.043257,             0.05479,            0.005759,             0.46314,             0.62541,             0.52622,             0.27352,            0.036236,            0.049664,           0.0073863,           0.0092278,           0.0092278,           0.0092278
                  41,            0.042081,            0.058957,           0.0071728,             0.47058,             0.56201,             0.49346,             0.27831,            0.036121,            0.051075,            0.011409,            0.009208,            0.009208,            0.009208
                  42,            0.043233,            0.056985,           0.0064417,             0.43941,             0.50385,             0.45814,              0.2467,            0.037371,            0.050529,            0.013858,           0.0091882,           0.0091882,           0.0091882
                  43,            0.042948,            0.056441,           0.0061845,             0.41692,             0.53112,             0.43793,             0.22705,            0.036935,            0.050787,            0.020035,           0.0091684,           0.0091684,           0.0091684
                  44,            0.042256,             0.05251,           0.0057753,             0.50037,             0.57878,             0.53509,             0.30772,            0.034906,            0.046735,           0.0081036,           0.0091486,           0.0091486,           0.0091486
                  45,            0.041453,            0.056548,           0.0062071,              0.4287,             0.57717,             0.49312,             0.27531,            0.035145,            0.051881,             0.01369,           0.0091288,           0.0091288,           0.0091288
                  46,            0.041706,            0.057327,            0.005066,             0.49247,              0.4923,             0.46353,             0.24574,            0.036465,            0.051661,            0.011961,            0.009109,            0.009109,            0.009109
                  47,            0.041355,            0.055889,           0.0045562,             0.49231,              0.4729,             0.49081,             0.28207,            0.035264,            0.048156,            0.017181,           0.0090892,           0.0090892,           0.0090892
                  48,            0.040744,            0.051463,           0.0042271,              0.5008,             0.56784,             0.51608,             0.30186,            0.033856,            0.047857,            0.012892,           0.0090694,           0.0090694,           0.0090694
                  49,            0.038849,            0.052419,           0.0044439,             0.44481,             0.62499,             0.51744,             0.30215,            0.033377,            0.052186,           0.0099986,           0.0090496,           0.0090496,           0.0090496
                  50,            0.040468,            0.054151,           0.0041634,             0.46026,              0.5786,             0.47885,             0.24887,            0.037919,            0.047262,            0.011241,           0.0090298,           0.0090298,           0.0090298
                  51,            0.039015,             0.05186,           0.0040625,             0.51326,              0.5265,             0.49633,             0.29415,            0.032942,             0.04822,            0.010589,             0.00901,             0.00901,             0.00901
                  52,            0.038439,            0.050824,           0.0037715,             0.51048,             0.55927,             0.52493,             0.30748,            0.034155,            0.048577,            0.012006,           0.0089902,           0.0089902,           0.0089902
                  53,            0.040526,            0.053572,           0.0042674,             0.52009,             0.54025,             0.52173,             0.29018,            0.034611,            0.048676,           0.0089048,           0.0089704,           0.0089704,           0.0089704
                  54,            0.037866,            0.050483,           0.0043192,             0.52854,             0.58663,             0.54496,             0.33112,              0.0329,            0.047154,           0.0072421,           0.0089506,           0.0089506,           0.0089506
                  55,            0.039383,            0.054643,           0.0041333,             0.47316,             0.61028,             0.50822,             0.30534,            0.033385,            0.046968,           0.0091184,           0.0089308,           0.0089308,           0.0089308
                  56,            0.036981,            0.051891,           0.0043175,             0.47506,             0.62754,             0.53325,             0.31846,            0.032578,            0.046568,             0.01046,            0.008911,            0.008911,            0.008911
                  57,            0.038242,             0.05316,           0.0032915,             0.46004,             0.58489,             0.50795,             0.30607,            0.033495,            0.050005,            0.007952,           0.0088912,           0.0088912,           0.0088912
                  58,             0.03794,            0.052264,           0.0035433,             0.53712,             0.56071,             0.52653,              0.3179,            0.031804,            0.046759,            0.014394,           0.0088714,           0.0088714,           0.0088714
                  59,             0.03694,            0.052655,           0.0031797,             0.49001,             0.60891,             0.54991,             0.33337,            0.032574,             0.04785,           0.0077366,           0.0088516,           0.0088516,           0.0088516
                  60,            0.037339,            0.051963,           0.0035924,             0.55081,             0.59489,             0.57873,             0.34866,             0.03331,            0.044988,           0.0066602,           0.0088318,           0.0088318,           0.0088318
                  61,            0.037781,            0.052434,           0.0030127,              0.5045,             0.63213,             0.56321,             0.34058,            0.032098,            0.046941,           0.0082242,            0.008812,            0.008812,            0.008812
                  62,              0.0373,            0.050788,           0.0028156,             0.48564,             0.60601,             0.52571,             0.31809,            0.031952,            0.047353,            0.010988,           0.0087922,           0.0087922,           0.0087922
                  63,            0.035715,            0.049332,           0.0042144,             0.48091,             0.60198,             0.53626,             0.32541,            0.032102,            0.048111,           0.0078291,           0.0087724,           0.0087724,           0.0087724
                  64,            0.036306,            0.050775,           0.0035696,             0.47832,             0.55621,             0.50836,             0.31265,            0.032425,            0.048318,            0.015845,           0.0087526,           0.0087526,           0.0087526
                  65,             0.03528,            0.052302,           0.0031551,             0.50536,             0.58445,             0.53539,             0.32161,            0.032642,            0.046677,            0.011784,           0.0087328,           0.0087328,           0.0087328
                  66,            0.037056,            0.047354,           0.0031567,             0.51133,             0.60583,             0.55488,             0.33302,            0.032828,               0.047,           0.0078632,            0.008713,            0.008713,            0.008713
                  67,            0.035505,            0.047692,            0.003163,             0.50267,               0.593,             0.53373,               0.327,            0.031597,            0.047271,            0.012874,           0.0086932,           0.0086932,           0.0086932
                  68,            0.034617,            0.049236,           0.0031896,             0.48535,             0.61989,             0.53037,             0.32413,            0.031063,            0.047149,           0.0087686,           0.0086734,           0.0086734,           0.0086734
                  69,            0.036342,            0.049846,           0.0028221,             0.56114,             0.57852,             0.58251,             0.34731,            0.032271,            0.044954,           0.0070356,           0.0086536,           0.0086536,           0.0086536
                  70,            0.035527,            0.051869,           0.0041252,              0.5301,             0.56954,             0.54953,             0.34803,            0.031059,            0.046755,           0.0066961,           0.0086338,           0.0086338,           0.0086338
                  71,            0.034657,            0.049366,           0.0032544,             0.50003,             0.60251,              0.5395,             0.32922,            0.031627,            0.048606,            0.014565,            0.008614,            0.008614,            0.008614
                  72,            0.036008,            0.047881,           0.0033503,             0.48984,             0.60085,             0.53642,             0.31444,             0.03331,            0.046419,           0.0092926,           0.0085942,           0.0085942,           0.0085942
                  73,            0.035366,            0.048335,           0.0031014,             0.51465,             0.63531,             0.56315,             0.35376,            0.030326,            0.047125,           0.0060703,           0.0085744,           0.0085744,           0.0085744
                  74,            0.034636,            0.047148,           0.0026153,             0.56863,             0.58036,             0.57337,             0.35524,             0.03104,            0.049409,           0.0071022,           0.0085546,           0.0085546,           0.0085546
                  75,            0.034378,            0.049088,           0.0025253,             0.52403,             0.64811,             0.58761,             0.36544,            0.030766,            0.046016,           0.0068874,           0.0085348,           0.0085348,           0.0085348
                  76,            0.034472,            0.047739,           0.0023505,             0.50325,             0.54949,             0.50599,             0.30044,            0.033601,            0.052316,            0.015652,            0.008515,            0.008515,            0.008515
                  77,            0.034429,            0.047346,           0.0022793,             0.51468,             0.62243,             0.55561,             0.34281,            0.031563,            0.046961,            0.010279,           0.0084952,           0.0084952,           0.0084952
                  78,            0.033769,            0.046979,           0.0031821,             0.52679,             0.56765,             0.54814,              0.3343,            0.031385,            0.047279,           0.0090987,           0.0084754,           0.0084754,           0.0084754
                  79,            0.033623,            0.047171,           0.0046937,             0.50933,             0.60191,             0.56338,             0.35498,               0.031,            0.045509,            0.005618,           0.0084556,           0.0084556,           0.0084556
                  80,            0.034127,            0.045328,           0.0026175,             0.48777,              0.6084,             0.55079,             0.33736,            0.030859,            0.047365,           0.0090214,           0.0084358,           0.0084358,           0.0084358
                  81,            0.034602,            0.046861,           0.0024854,              0.4765,             0.55726,             0.48889,             0.29724,            0.031399,            0.050489,           0.0081486,            0.008416,            0.008416,            0.008416
                  82,            0.034455,             0.04972,           0.0022003,             0.51596,             0.61868,             0.55899,             0.34234,            0.030389,            0.048949,            0.008256,           0.0083962,           0.0083962,           0.0083962
                  83,            0.034054,            0.049639,            0.002404,             0.50432,             0.62317,             0.56704,             0.35518,            0.030472,            0.046748,            0.013661,           0.0083764,           0.0083764,           0.0083764
                  84,            0.033544,            0.045029,           0.0022032,             0.56234,              0.5656,             0.54489,             0.34639,            0.030446,            0.046435,            0.010657,           0.0083566,           0.0083566,           0.0083566
                  85,            0.033262,            0.048068,           0.0029503,              0.4817,             0.44806,             0.41887,             0.25685,             0.03657,            0.061205,            0.012697,           0.0083368,           0.0083368,           0.0083368
                  86,            0.033308,            0.047319,              0.0025,             0.52833,             0.59667,             0.55873,             0.35741,            0.030355,            0.047061,           0.0080324,            0.008317,            0.008317,            0.008317
                  87,             0.03167,            0.044158,           0.0025277,             0.51934,              0.6135,             0.55032,             0.34625,            0.031012,             0.04738,           0.0074818,           0.0082972,           0.0082972,           0.0082972
                  88,            0.033156,            0.045535,           0.0021773,              0.4977,             0.60686,             0.53613,             0.33557,            0.030781,            0.047763,            0.008116,           0.0082774,           0.0082774,           0.0082774
                  89,            0.034394,            0.045896,           0.0024647,             0.53107,             0.58136,             0.54614,              0.3409,            0.030955,            0.050737,           0.0090997,           0.0082576,           0.0082576,           0.0082576
                  90,            0.032342,            0.047171,           0.0023731,             0.56081,             0.60265,               0.559,             0.36042,             0.02991,            0.048406,           0.0061451,           0.0082378,           0.0082378,           0.0082378
                  91,             0.03346,            0.047412,           0.0023294,             0.54613,             0.58578,             0.56504,              0.3583,            0.030548,            0.046993,            0.007799,            0.008218,            0.008218,            0.008218
                  92,            0.032376,            0.044329,           0.0021332,             0.54085,             0.58464,             0.54824,             0.35529,            0.029687,            0.047727,            0.010617,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033355,            0.043263,            0.001922,             0.54963,             0.58067,             0.56198,             0.35577,            0.030915,            0.048496,           0.0052671,           0.0081784,           0.0081784,           0.0081784
                  94,            0.032091,            0.044489,            0.002884,             0.53616,             0.62481,             0.57409,             0.37259,            0.029591,            0.047059,           0.0053328,           0.0081586,           0.0081586,           0.0081586
                  95,            0.032179,            0.045686,           0.0019697,             0.52604,             0.65233,             0.58651,             0.37127,            0.029624,            0.045588,           0.0072412,           0.0081388,           0.0081388,           0.0081388
                  96,            0.032663,            0.043403,           0.0023003,             0.49165,             0.65329,             0.56553,             0.35447,            0.030383,            0.048677,           0.0064135,            0.008119,            0.008119,            0.008119
                  97,             0.03221,            0.043123,           0.0020311,             0.56578,              0.5895,             0.57333,             0.36784,            0.029461,            0.045818,            0.010467,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030649,            0.042439,           0.0017938,             0.54569,              0.6134,             0.56818,             0.36795,            0.029691,            0.048667,            0.007623,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031477,            0.044862,           0.0017751,             0.60415,             0.57446,             0.58141,             0.37404,            0.029954,              0.0475,           0.0084554,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031493,             0.04258,           0.0016966,             0.57315,             0.60168,             0.57599,             0.37568,            0.029378,            0.047307,            0.010017,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032672,             0.04651,           0.0024887,             0.54145,             0.62861,             0.59226,             0.37877,            0.029764,            0.047547,           0.0055219,             0.00802,             0.00802,             0.00802
                 102,            0.030979,            0.043894,            0.001999,              0.5738,             0.61105,             0.60442,             0.39964,            0.029443,             0.04583,           0.0063892,           0.0080002,           0.0080002,           0.0080002
                 103,            0.030687,            0.044781,           0.0015471,             0.55919,             0.58107,             0.57129,               0.369,            0.030008,            0.047529,           0.0055043,           0.0079804,           0.0079804,           0.0079804
                 104,            0.031461,            0.044997,           0.0020477,             0.57211,             0.59419,             0.58599,             0.38036,            0.029874,            0.048728,           0.0060588,           0.0079606,           0.0079606,           0.0079606
                 105,            0.032426,            0.045097,           0.0017084,             0.56268,             0.56266,             0.56901,             0.35887,            0.029684,            0.048139,           0.0076142,           0.0079408,           0.0079408,           0.0079408
                 106,            0.030513,            0.044466,           0.0016903,             0.53434,             0.60764,             0.56624,             0.36475,            0.029889,            0.050494,            0.010687,            0.007921,            0.007921,            0.007921
                 107,            0.031321,            0.042254,           0.0019734,             0.51465,             0.58174,             0.53363,             0.34463,            0.029141,            0.050393,            0.010885,           0.0079012,           0.0079012,           0.0079012
                 108,              0.0299,            0.041764,           0.0016012,             0.53712,             0.61926,             0.56035,             0.36716,            0.029939,            0.051571,           0.0065903,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030022,            0.041841,           0.0017338,             0.52408,             0.65098,             0.57149,             0.37437,            0.028735,            0.046928,           0.0080125,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03017,             0.04152,           0.0017319,              0.5058,             0.61902,             0.55711,             0.35554,            0.029548,            0.047852,            0.010778,           0.0078418,           0.0078418,           0.0078418
                 111,            0.029606,            0.041311,           0.0014577,             0.53566,             0.64894,             0.57688,             0.37504,            0.028893,            0.048622,            0.011203,            0.007822,            0.007822,            0.007822
                 112,            0.030716,            0.041441,           0.0012736,             0.56784,             0.59947,             0.58039,             0.38361,            0.029439,            0.049005,           0.0044338,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030609,            0.040641,           0.0014667,             0.56371,             0.56846,             0.55115,             0.34725,            0.030357,             0.04999,           0.0082033,           0.0077824,           0.0077824,           0.0077824
                 114,             0.02971,             0.04358,            0.002124,             0.52802,              0.5596,              0.5469,             0.35087,            0.029437,            0.050074,           0.0096192,           0.0077626,           0.0077626,           0.0077626
                 115,            0.030321,            0.042098,            0.001372,             0.56588,             0.57735,             0.56049,             0.34959,            0.029915,            0.047513,           0.0086396,           0.0077428,           0.0077428,           0.0077428
                 116,            0.031082,            0.041008,           0.0019765,             0.55623,             0.61638,             0.57851,              0.3713,            0.029615,            0.050483,           0.0073779,            0.007723,            0.007723,            0.007723
                 117,            0.029163,            0.040004,           0.0017138,             0.54733,             0.63364,             0.58702,             0.37823,            0.029799,            0.047918,           0.0066259,           0.0077032,           0.0077032,           0.0077032
                 118,            0.030346,            0.042227,            0.001931,             0.53806,             0.59031,             0.56021,             0.36426,            0.029347,            0.049143,           0.0061351,           0.0076834,           0.0076834,           0.0076834
                 119,             0.02926,            0.041275,           0.0014053,             0.57261,             0.59552,             0.58054,             0.37814,            0.029083,              0.0497,           0.0088368,           0.0076636,           0.0076636,           0.0076636
                 120,            0.029853,            0.041214,           0.0016623,             0.51827,             0.61072,             0.55465,             0.36542,            0.029549,            0.049136,           0.0085282,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029563,            0.041494,           0.0013792,              0.5286,               0.639,              0.5689,             0.38133,            0.028542,            0.048461,           0.0068382,            0.007624,            0.007624,            0.007624
                 122,            0.029949,             0.03957,           0.0013141,             0.55203,             0.60835,             0.57932,             0.37947,            0.029528,            0.047475,           0.0084776,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02842,            0.040402,           0.0013435,             0.54238,              0.6666,             0.59101,              0.3939,            0.028837,            0.049081,           0.0059964,           0.0075844,           0.0075844,           0.0075844
                 124,            0.031572,            0.040042,           0.0010627,             0.56654,             0.62181,               0.579,             0.37882,            0.029295,            0.047083,           0.0064517,           0.0075646,           0.0075646,           0.0075646
                 125,            0.029642,            0.039511,           0.0012698,             0.51284,             0.63842,             0.55993,             0.37293,            0.028508,            0.049518,           0.0099306,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028713,            0.039218,           0.0013327,             0.55855,             0.60405,             0.58998,             0.39495,            0.028833,            0.050808,           0.0065376,            0.007525,            0.007525,            0.007525
                 127,            0.029019,            0.039095,           0.0012591,             0.55097,             0.59499,             0.56324,             0.37158,            0.028492,            0.047922,            0.012217,           0.0075052,           0.0075052,           0.0075052
                 128,             0.03011,            0.040213,           0.0012152,             0.58559,             0.56778,             0.58228,             0.38532,            0.028889,            0.050508,            0.009668,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028751,            0.038049,           0.0017097,             0.53521,             0.58975,             0.53048,             0.35513,            0.029957,            0.053404,            0.014736,           0.0074656,           0.0074656,           0.0074656
                 130,            0.028814,            0.038539,           0.0014863,             0.60686,             0.59047,             0.58137,             0.38575,            0.029087,             0.04907,           0.0072135,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027945,            0.039811,           0.0012273,             0.54617,             0.59694,             0.56316,             0.37374,            0.029436,            0.050022,            0.007114,            0.007426,            0.007426,            0.007426
                 132,            0.029138,              0.0386,            0.001947,              0.5467,             0.60699,             0.57824,             0.38758,             0.02831,            0.049094,           0.0069854,           0.0074062,           0.0074062,           0.0074062
                 133,             0.02917,            0.038503,           0.0013362,             0.55343,              0.6159,             0.58737,             0.38429,            0.029028,            0.048146,           0.0055716,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028034,            0.039023,           0.0014931,             0.54356,               0.628,             0.57672,             0.38374,            0.029102,            0.048541,           0.0060736,           0.0073666,           0.0073666,           0.0073666
                 135,            0.028177,            0.041316,           0.0018518,              0.5512,             0.59751,             0.55118,              0.3686,            0.029623,            0.053703,            0.011744,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027946,            0.038146,           0.0016422,             0.52361,             0.65706,             0.56919,             0.38463,            0.028549,            0.050568,           0.0075575,            0.007327,            0.007327,            0.007327
                 137,            0.028526,            0.038153,           0.0016366,             0.52204,             0.64692,              0.5557,             0.36958,            0.028783,            0.050341,            0.007695,           0.0073072,           0.0073072,           0.0073072
                 138,             0.02902,            0.039076,           0.0014418,             0.54187,             0.62185,              0.5637,             0.37739,            0.028951,            0.051707,           0.0074807,           0.0072874,           0.0072874,           0.0072874
